"No","Name","Games","Age","Date.of.Birth","Height","Weight","Origin","Position","Team"
3,"Berry, Sam",57,"23yr 1mth","12 Feb 2002","181cm","88kg","Gippsland Power","Midfield","Adelaide Crows"
35,"Borlase, James R",15,"22yr 8mth","18 Jul 2002","192cm","101kg","Sturt","Defender","Adelaide Crows"
16,"Brown, Luke",189,"32yr 6mth","22 Sep 1992","181cm","81kg","Norwood","Defender","Adelaide Crows"
41,"Butts, Jordon",75,"25yr 3mth","31 Dec 1999","195cm","97kg","Murray Bushrangers","Defender","Adelaide Crows"
15,"Cook, Brayden",27,"22yr 8mth","18 Jul 2002","189cm","85kg","South Adelaide","Forward","Adelaide Crows"
5,"Crouch, Matt",161,"29yr 11mth","21 Apr 1995","181cm","85kg","North Ballarat Rebels","Midfield","Adelaide Crows"
40,"Davis, Ben R",11,"27yr 10mth","19 May 1997","189cm","89kg","UNSW","Defender Forward","Adelaide Crows"
12,"Dawson, Jordan",134,"27yr 11mth","9 Apr 1997","190cm","91kg","Sturt","Midfield","Adelaide Crows"
12,"Doedee, Tom",82,"28yr 1mth","1 Mar 1997","190cm","90kg","Geelong Falcons","Defender","Adelaide Crows"
32,"Fogarty, Darcy",105,"25yr 6mth","25 Sep 1999","192cm","100kg","Glenelg","Forward","Adelaide Crows"
17,"Frampton, Billy",58,"28yr 4mth","20 Nov 1996","201cm","100kg","South Fremantle","Defender","Adelaide Crows"
44,"Gollant, Lachlan",16,"23yr 6mth","12 Sep 2001","193cm","85kg","Calder Cannons","Forward","Adelaide Crows"
17,"Hamill, Will R",45,"24yr 4mth","17 Nov 2000","187cm","84kg","Dandenong Stingrays","Defender","Adelaide Crows"
6,"Hately, Jackson",28,"24yr 5mth","21 Oct 2000","191cm","85kg","Central District","Midfield","Adelaide Crows"
12,"Himmelberg, Elliott",50,"26yr 9mth","4 Jun 1998","196cm","99kg","Redlands","Forward","Adelaide Crows"
20,"Hinge, Mitchell",68,"26yr 9mth","28 Jun 1998","187cm","90kg","Glenelg","Defender","Adelaide Crows"
1,"Jones, Chayce",92,"25yr 2mth","14 Jan 2000","180cm","84kg","Launceston","Midfield","Adelaide Crows"
2,"Keays, Ben",139,"28yr 1mth","23 Feb 1997","185cm","86kg","Brisbane Reserves","Forward","Adelaide Crows"
29,"Laird, Rory",250,"31yr 3mth","29 Dec 1993","178cm","85kg","West Adelaide","Midfield","Adelaide Crows"
23,"McAdam, Shane",53,"29yr 10mth","28 May 1995","186cm","80kg","Sturt","Forward","Adelaide Crows"
3,"McAsey, Fischer",10,"24yr","8 Mar 2001","196cm","96kg","Sandringham Dragons","Defender","Adelaide Crows"
25,"McHenry, Ned",70,"24yr 8mth","13 Jul 2000","179cm","81kg","Geelong Falcons","Forward","Adelaide Crows"
36,"McPherson, Andrew R",28,"25yr 9mth","20 Jun 1999","187cm","86kg","Woodville-West Torrens","Defender","Adelaide Crows"
30,"Milera, Wayne",102,"27yr 6mth","14 Sep 1997","185cm","88kg","Central District","Defender","Adelaide Crows"
4,"Murphy, Lachlan",115,"26yr 3mth","4 Dec 1998","178cm","83kg","Adelaide Football Club","Forward","Adelaide Crows"
9,"Murray, Nick",57,"24yr 3mth","18 Dec 2000","195cm","100kg","Allies","Defender","Adelaide Crows"
27,"Nankervis, Luke",24,"21yr 10mth","25 May 2003","189cm","85kg","Sandringham Dragons","Defender","Adelaide Crows"
42,"Newchurch, Tariek R",0,"22yr 8mth","21 Jul 2002","182cm","79kg","North Adelaide","Forward","Adelaide Crows"
43,"O'Brien, Reilly",124,"29yr 7mth","20 Aug 1995","201cm","105kg","Calder Cannons","Ruck","Adelaide Crows"
37,"Parnell, Patrick R",17,"23yr","4 Mar 2002","178cm","76kg","Murray Bushrangers","Defender","Adelaide Crows"
10,"Pedlar, Luke",30,"22yr 10mth","17 May 2002","183cm","84kg","Glenelg","Forward","Adelaide Crows"
8,"Rachele, Josh",59,"21yr 11mth","11 Apr 2003","180cm","84kg","Murray Bushrangers","Forward","Adelaide Crows"
